Client,Project,Status,Confidence,Priority,Amount (VAT-Ex.) (PHP),Amount (VAT-Ex.) (USD),Quick Remarks,Sign Date,Source,BD,AM,PM,MKT,Project Code,Signed CE (PDF),Internal CE (Sheet),VAT%,Amount (VAT-Inc.),GP%,GP,Invoice(s),Payment Dates,Last Updated,Other Attachments,Other Links,Week Number,RFP Received Date,RFPR-WeekNum,Tribe,Pipeline Tier,Year,Month,Project Start,Project End,AM Weight,AM Lookup,Weighted Amount (PHP),Weighted Amount (USD),Weighted Pitch Phase (PHP),Weighted Awarded Phase (PHP),Weighted Collection Phase (PHP),Weighted Completed Cycle (PHP),Lead Progress,Lead Phase,Lead Date,Lead Month,Lead Week,Qualified Lead,% Collected,Amount Collected (PHP)
Acme Corp,Mobile Legends Tournament S1,Signed CE,100%,Medium,14000000,245614.04,On track,2026-01-12,Referral,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Ryan Lim,,PRJ-2026-001,CE_PRJ-2026-001.pdf,https://docs.google.com/spreadsheets/d/fake_1,0%,14000000.0,30%,4200000.0,,,2026-03-28,,,5,,,PDEI - Moonton,Signed CE,2026,January,2026-01-03,2026-04-16,1.0,Andres,14000000.0,245614.04,0,14000000.0,0,0,,1 - Know your client,2026-03-06,3 - Mar,3,Yes,,
Nova Studios,MLBB Pro League Season 8,Fully Closed,100%,Medium,9500000,166666.67,Scope finalized,2026-03-13,Repeat Client,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Ryan Lim,,PRJ-2026-002,CE_PRJ-2026-002.pdf,https://docs.google.com/spreadsheets/d/fake_2,12%,10640000.0,25%,2375000.0,INV-2026-002,2026-01-20,2026-03-26,,,4,,,PDEI - Moonton,Signed CE,2026,March,2026-03-13,2026-04-27,1.0,Andres,9500000.0,166666.67,0,0,0,9500000.0,,2 - Sources,2026-03-15,3 - Mar,7,No,100%,9500000
Stellar Games,Moonton Brand Partnership,Collected - For Closing,100%,Medium,7500000,131578.95,Deliverables in progress,2026-03-19,Inbound,Isabella R. Fontanilla,Sofia Beatrice Luna Torres,Carmen Reyes,,PRJ-2026-003,CE_PRJ-2026-003.pdf,https://docs.google.com/spreadsheets/d/fake_3,0%,7500000.0,20%,1500000.0,INV-2026-003,2026-01-12,2026-03-23,,,6,,,PDEI - Moonton,Signed CE,2026,March,2026-03-09,2026-04-21,1.0,Sofia,7500000.0,131578.95,0,0,0,7500000.0,On Hold,1 - Know your client,2026-03-25,3 - Mar,12,Pending,100%,7500000.0
Zenith Tech,MLBB Community Cup,For Collection - Invoice Sent,100%,Medium,5000000,87719.3,Kickoff scheduled,2026-03-16,Repeat Client,Nathan Kai Villanueva Tan,Andres Felipe Navarro Castillo,Miguel Santos,,PRJ-2026-004,CE_PRJ-2026-004.pdf,https://docs.google.com/spreadsheets/d/fake_4,12%,5600000.0,35%,1750000.0,INV-2026-004,2026-03-17,2026-03-26,,,7,,,PDEI - Moonton,Signed CE,2026,March,2026-03-03,2026-05-20,1.0,Andres,5000000.0,87719.3,0,0,5000000.0,0,On Hold,2 - Sources,2026-03-25,3 - Mar,4,No,50%,2500000.0
Phoenix Interactive,Moonton Creator Collab,Won - Awaiting CE Signature,100%,Medium,4500000,78947.37,Kickoff scheduled,2026-01-06,Inbound,Lucas Gabriel Domingo,"Diego Alejandro Reyes, Santiago, III Villanueva",Ryan Lim,,PRJ-2026-005,CE_PRJ-2026-005.pdf,,0%,4500000.0,25%,1125000.0,,,2026-03-22,,,9,2026-01-13,10,PDEI - Moonton,Signed CE,2026,January,2026-01-13,2026-03-21,1.0,DA,4500000.0,78947.37,0,4500000.0,0,0,Completed,3 - Revenue building activities,2026-01-23,1 - Jan,8,No,,
Apex Gaming,MLBB Campus Tour,For Collection - For Invoicing,100%,Medium,3500000,61403.51,Client requested revision,2026-03-18,,Isabella R. Fontanilla,Maria Elena Rosales Bautista,Ryan Lim,,PRJ-2026-006,CE_PRJ-2026-006.pdf,https://docs.google.com/spreadsheets/d/fake_6,12%,3920000.0,15%,525000.0,INV-2026-006,,2026-03-30,,,8,2026-01-04,5,PDEI - Moonton,Signed CE,2026,March,2026-03-15,2026-06-21,1.0,Maria,3500000.0,61403.51,0,0,3500000.0,0,Completed,3 - Revenue building activities,2026-01-21,1 - Jan,10,Yes,,
Titan Brands,Moonton Year-End Bash,Signed CE,100%,Medium,3000000,52631.58,Client requested revision,2026-02-21,Event Lead,Nathan Kai Villanueva Tan,Sofia Beatrice Luna Torres,Paolo Dela Cruz,,PRJ-2026-007,CE_PRJ-2026-007.pdf,https://docs.google.com/spreadsheets/d/fake_7,0%,3000000.0,30%,900000.0,,,2026-03-26,,,10,,,PDEI - Moonton,Signed CE,2026,February,2026-02-05,2026-05-28,1.0,Sofia,3000000.0,52631.58,0,3000000.0,0,0,Active,1 - Know your client,2026-03-22,3 - Mar,7,Pending,,
Crimson Media,Honor of Kings Cup 2026,Signed CE,100%,Medium,7500000,131578.95,Contract signed,2026-03-08,Outbound,Isabella R. Fontanilla,"Diego Alejandro Reyes, Santiago, III Villanueva",Ryan Lim,Content Team,PRJ-2026-008,CE_PRJ-2026-008.pdf,https://docs.google.com/spreadsheets/d/fake_8,12%,8400000.0,25%,1875000.0,,,2026-03-21,,,6,2026-01-16,3,PDEI - Tencent,Signed CE,2026,March,2026-03-14,2026-06-19,1.0,DA,7500000.0,131578.95,0,7500000.0,0,0,On Hold,2 - Sources,2026-01-10,1 - Jan,11,Yes,,
BlueSky Digital,PUBG Mobile Masters,Fully Closed,100%,Medium,5200000,91228.07,Follow-up needed,2026-01-07,Event Lead,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Carmen Reyes,Social Team,PRJ-2026-009,CE_PRJ-2026-009.pdf,https://docs.google.com/spreadsheets/d/fake_9,0%,5200000.0,20%,1040000.0,INV-2026-009,2026-03-15,2026-03-29,,,5,,,PDEI - Tencent,Signed CE,2026,January,2026-01-12,2026-03-28,1.0,Andres,5200000.0,91228.07,0,0,0,5200000.0,Completed,1 - Know your client,2026-03-09,3 - Mar,13,,100%,5200000
Vanguard Entertainment,Arena of Valor Showdown,For Collection - Invoice Sent,100%,Medium,4500000,78947.37,Waiting for client approval,2026-03-16,,Nathan Kai Villanueva Tan,"Diego Alejandro Reyes, Santiago, III Villanueva",Lucia Mendez,Social Team,PRJ-2026-010,CE_PRJ-2026-010.pdf,,12%,5040000.0,30%,1350000.0,INV-2026-010,2026-03-17,2026-03-31,,,8,2026-01-01,4,PDEI - Tencent,Signed CE,2026,March,2026-03-08,2026-06-22,1.0,DA,4500000.0,78947.37,0,0,4500000.0,0,Completed,1 - Know your client,2026-01-07,1 - Jan,8,Yes,50%,2250000.0
Nebula Media,Esports Championship Series,Signed CE,100%,Medium,3200000,56140.35,Follow-up needed,2026-02-26,Outbound,Lucas Gabriel Domingo,Maria Elena Rosales Bautista,Ana Gutierrez,Content Team,PRJ-2026-011,CE_PRJ-2026-011.pdf,https://docs.google.com/spreadsheets/d/fake_11,0%,3200000.0,30%,960000.0,,,2026-03-21,,,7,,,PDEI - Esports,Signed CE,2026,February,2026-02-08,2026-03-23,1.0,Maria,3200000.0,56140.35,0,3200000.0,0,0,,2 - Sources,2026-03-12,3 - Mar,10,,,
Horizon Digital,Regional Qualifiers SEA,Won - Awaiting CE Signature,100%,Medium,2700000,47368.42,Kickoff scheduled,2026-03-25,,Isabella R. Fontanilla,Sofia Beatrice Luna Torres,Paolo Dela Cruz,Events Team,PRJ-2026-012,CE_PRJ-2026-012.pdf,https://docs.google.com/spreadsheets/d/fake_12,12%,3024000.0,15%,405000.0,,,2026-03-22,,,9,,,PDEI - Esports,Signed CE,2026,March,2026-03-02,2026-04-21,1.0,Sofia,2700000.0,47368.42,0,2700000.0,0,0,Completed,3 - Revenue building activities,2026-01-11,1 - Jan,6,,,
Eclipse Studios,Brand Activation Q2,Signed CE,100%,Medium,5500000,96491.23,Negotiating terms,2026-01-06,Event Lead,Nathan Kai Villanueva Tan,Andres Felipe Navarro Castillo,Ana Gutierrez,Events Team,PRJ-2026-013,CE_PRJ-2026-013.pdf,,12%,6160000.0,25%,1375000.0,,,2026-03-22,,,8,2026-01-13,3,PDEI - Marketing,Signed CE,2026,January,2026-01-11,2026-04-28,1.0,Andres,5500000.0,96491.23,0,5500000.0,0,0,Completed,1 - Know your client,2026-01-10,1 - Jan,9,,,
Pinnacle Sports,Digital Marketing Sprint,Collected - For Closing,100%,Medium,4000000,70175.44,Waiting for client approval,2026-02-18,Repeat Client,Lucas Gabriel Domingo,Rafael Antonio Cruz Mendoza,Paolo Dela Cruz,Content Team,PRJ-2026-014,CE_PRJ-2026-014.pdf,,12%,4480000.0,20%,800000.0,INV-2026-014,2026-03-27,2026-03-25,,,6,,,PDEI - Marketing,Signed CE,2026,February,2026-02-12,2026-05-27,1.0,Rafa,4000000.0,70175.44,0,0,0,4000000.0,Completed,4 - ITQ/RFQ/RFP,2026-01-14,1 - Jan,6,Yes,100%,4000000.0
Quantum Labs,Influencer Partnership,For Collection - For Invoicing,100%,Medium,3800000,66666.67,Follow-up needed,2026-01-21,Outbound,Isabella R. Fontanilla,Maria Elena Rosales Bautista,Paolo Dela Cruz,,PRJ-2026-015,CE_PRJ-2026-015.pdf,https://docs.google.com/spreadsheets/d/fake_15,12%,4256000.0,35%,1330000.0,INV-2026-015,,2026-03-21,,,7,2026-03-02,12,PDEI - Marketing,Signed CE,2026,January,2026-01-02,2026-02-16,1.0,Maria,3800000.0,66666.67,0,0,3800000.0,0,Completed,1 - Know your client,2026-03-17,3 - Mar,4,No,,
Omega Networks,Social Media Campaign Q1,For Collection - Invoice Sent,100%,Medium,3200000,56140.35,,2026-01-26,Referral,Nathan Kai Villanueva Tan,Sofia Beatrice Luna Torres,Lucia Mendez,,PRJ-2026-016,CE_PRJ-2026-016.pdf,,12%,3584000.0,15%,480000.0,INV-2026-016,2026-01-10,2026-03-21,,,5,2026-02-19,4,PDEI - Marketing,Signed CE,2026,January,2026-01-12,2026-03-18,1.0,Sofia,3200000.0,56140.35,0,0,3200000.0,0,Completed,3 - Revenue building activities,2026-02-25,2 - Feb,7,,30%,960000.0
Fusion Creative,MLBB Streamer Showdown,CE/Pitch Submitted,90%,High,8000000,140350.88,Scope finalized,,Outbound,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Carmen Reyes,Social Team,PRJ-2026-017,,https://docs.google.com/spreadsheets/d/fake_17,12%,8960000.0,15%,1200000.0,,,2026-03-21,,,11,2026-03-05,7,PDEI - Moonton,Pipeline Tier A (90%),2026,February,2026-02-05,2026-03-22,1.0,Andres,8000000.0,140350.88,8000000.0,0,0,0,Active,3 - Revenue building activities,2026-03-22,3 - Mar,7,Yes,,
Summit Digital,Moonton Summer Fest,For CE/Pitch Creation,70%,Medium,6000000,105263.16,Final review stage,,Referral,Isabella R. Fontanilla,"Diego Alejandro Reyes, Santiago, III Villanueva",Miguel Santos,Content Team,PRJ-2026-018,,https://docs.google.com/spreadsheets/d/fake_18,12%,6720000.0,40%,2400000.0,,,2026-03-20,,,10,2026-03-09,3,PDEI - Moonton,Pipeline Tier B (60% - 80%),2026,January,2026-01-11,2026-04-28,1.0,DA,6000000.0,105263.16,6000000.0,0,0,0,,3 - Revenue building activities,2026-03-13,3 - Mar,3,Yes,,
Radiant Media,MLBB All-Stars 2026,Talks In Progress,60%,High,12000000,210526.32,Waiting for client approval,,,Nathan Kai Villanueva Tan,Sofia Beatrice Luna Torres,Ryan Lim,Content Team,PRJ-2026-019,,https://docs.google.com/spreadsheets/d/fake_19,12%,13440000.0,35%,4200000.0,,,2026-03-22,,,12,2026-03-05,9,PDEI - Moonton,Pipeline Tier B (60% - 80%),2026,February,2026-02-09,2026-03-16,1.0,Sofia,12000000.0,210526.32,12000000.0,0,0,0,Completed,1 - Know your client,2026-03-22,3 - Mar,3,Pending,,
Atlas Entertainment,Moonton Campus Activation,Talent Sourcing,50%,Medium,3500000,61403.51,Final review stage,,,Lucas Gabriel Domingo,Maria Elena Rosales Bautista,Ana Gutierrez,Content Team,PRJ-2026-020,,https://docs.google.com/spreadsheets/d/fake_20,0%,3500000.0,20%,700000.0,,,2026-03-31,,,11,2026-03-01,5,PDEI - Moonton,Pipeline Tier C (50%),2026,January,2026-01-06,2026-04-28,1.0,Maria,3500000.0,61403.51,3500000.0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-03-12,3 - Mar,5,No,,
Pulse Gaming,PUBG Mobile Pro League,CE/Pitch Submitted,90%,High,9000000,157894.74,Timeline adjusted,,,Isabella R. Fontanilla,Andres Felipe Navarro Castillo,Paolo Dela Cruz,Social Team,PRJ-2026-021,,https://docs.google.com/spreadsheets/d/fake_21,0%,9000000.0,,,,,2026-03-20,,,10,2026-01-08,6,PDEI - Tencent,Pipeline Tier A (90%),2026,January,2026-01-07,2026-02-28,1.0,Andres,9000000.0,157894.74,9000000.0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-01-19,1 - Jan,8,Pending,,
Vertex Technologies,Honor of Kings Invitational,For CE/Pitch Creation,70%,Medium,5500000,96491.23,Follow-up needed,,Repeat Client,Nathan Kai Villanueva Tan,"Diego Alejandro Reyes, Santiago, III Villanueva",Carmen Reyes,,PRJ-2026-022,,https://docs.google.com/spreadsheets/d/fake_22,12%,6160000.0,35%,1925000.0,,,2026-03-29,,,11,,,PDEI - Tencent,Pipeline Tier B (60% - 80%),2026,March,2026-03-14,2026-06-20,1.0,DA,5500000.0,96491.23,5500000.0,0,0,0,On Hold,1 - Know your client,2026-01-10,1 - Jan,12,Pending,,
Prism Digital,Tencent Cloud Gaming Launch,Talks In Progress,80%,Medium,7000000,122807.02,Scope finalized,,Repeat Client,Lucas Gabriel Domingo,Rafael Antonio Cruz Mendoza,Carmen Reyes,Events Team,PRJ-2026-023,,https://docs.google.com/spreadsheets/d/fake_23,12%,7840000.0,15%,1050000.0,,,2026-03-25,,,12,2026-01-11,12,PDEI - Tencent,Pipeline Tier B (60% - 80%),2026,March,2026-03-04,2026-05-15,1.0,Rafa,7000000.0,122807.02,7000000.0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-01-16,1 - Jan,9,Yes,,
Cobalt Studios,AoV Community Cup,Talent Sourcing,50%,Medium,2800000,49122.81,On track,,Referral,Isabella R. Fontanilla,Maria Elena Rosales Bautista,Carmen Reyes,,PRJ-2026-024,,https://docs.google.com/spreadsheets/d/fake_24,12%,3136000.0,30%,840000.0,,,2026-03-28,,,9,2026-01-10,9,PDEI - Tencent,Pipeline Tier C (50%),2026,February,2026-02-12,2026-04-23,1.0,Maria,2800000.0,49122.81,2800000.0,0,0,0,,2 - Sources,2026-01-17,1 - Jan,13,No,,
Ironclad Media,Youth Esports League,CE/Pitch Submitted,90%,Medium,4500000,78947.37,Final review stage,,,Nathan Kai Villanueva Tan,Sofia Beatrice Luna Torres,Miguel Santos,Events Team,PRJ-2026-025,,,12%,5040000.0,35%,1575000.0,,,2026-03-30,,,10,,,PDEI - Esports,Pipeline Tier A (90%),2026,February,2026-02-08,2026-04-22,1.0,Sofia,4500000.0,78947.37,4500000.0,0,0,0,,2 - Sources,2026-03-10,3 - Mar,13,Yes,,
Acme Corp,Esports Academy Launch,For CE/Pitch Creation,60%,Medium,3000000,52631.58,Awaiting PO,,Inbound,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Miguel Santos,Content Team,PRJ-2026-026,,,12%,3360000.0,20%,600000.0,,,2026-03-26,,,11,2026-02-13,10,PDEI - Esports,Pipeline Tier B (60% - 80%),2026,January,2026-01-04,2026-03-24,1.0,Andres,3000000.0,52631.58,3000000.0,0,0,0,,1 - Know your client,2026-02-25,2 - Feb,12,No,,
Nova Studios,Charity Stream Event,Talks In Progress,60%,Low,2200000,38596.49,New partnership opportunity,,Outbound,Isabella R. Fontanilla,Maria Elena Rosales Bautista,Ryan Lim,,PRJ-2026-027,,https://docs.google.com/spreadsheets/d/fake_27,12%,2464000.0,20%,440000.0,,,2026-03-31,,,12,2026-01-15,12,PDEI - Esports,Pipeline Tier B (60% - 80%),2026,March,2026-03-09,2026-05-15,1.0,Maria,2200000.0,38596.49,2200000.0,0,0,0,,2 - Sources,2026-01-09,1 - Jan,10,Pending,,
Stellar Games,Women in Esports Initiative,Talent Sourcing,50%,Medium,1800000,31578.95,Final review stage,,Repeat Client,Nathan Kai Villanueva Tan,"Diego Alejandro Reyes, Santiago, III Villanueva",Lucia Mendez,Events Team,PRJ-2026-028,,https://docs.google.com/spreadsheets/d/fake_28,12%,2016000.0,40%,720000.0,,,2026-03-24,,,9,2026-03-10,6,PDEI - Esports,Pipeline Tier C (50%),2026,February,2026-02-05,2026-03-28,1.0,DA,1800000.0,31578.95,1800000.0,0,0,0,,3 - Revenue building activities,2026-03-25,3 - Mar,6,Pending,,
Zenith Tech,Gaming Lifestyle Expo,CE/Pitch Submitted,90%,High,15000000,263157.89,On track,,Repeat Client,Lucas Gabriel Domingo,Rafael Antonio Cruz Mendoza,Lucia Mendez,,PRJ-2026-029,,https://docs.google.com/spreadsheets/d/fake_29,0%,15000000.0,20%,3000000.0,,,2026-03-26,,,11,2026-02-07,9,PDEI - Marketing,Pipeline Tier A (90%),2026,March,2026-03-03,2026-06-18,1.0,Rafa,15000000.0,263157.89,15000000.0,0,0,0,,1 - Know your client,2026-02-15,2 - Feb,11,,,
Phoenix Interactive,Content Creator Summit,For CE/Pitch Creation,70%,Medium,8000000,140350.88,Negotiating terms,,Referral,Isabella R. Fontanilla,Sofia Beatrice Luna Torres,Lucia Mendez,Events Team,PRJ-2026-030,,https://docs.google.com/spreadsheets/d/fake_30,0%,8000000.0,25%,2000000.0,,,2026-03-25,,,10,,,PDEI - Marketing,Pipeline Tier B (60% - 80%),2026,February,2026-02-14,2026-04-23,1.0,Sofia,8000000.0,140350.88,8000000.0,0,0,0,Completed,2 - Sources,2026-02-13,2 - Feb,9,,,
Crimson Media,Metaverse Brand Space,Talks In Progress,80%,Medium,20000000,350877.19,High priority client,,Event Lead,Nathan Kai Villanueva Tan,Andres Felipe Navarro Castillo,Paolo Dela Cruz,Social Team,PRJ-2026-031,,https://docs.google.com/spreadsheets/d/fake_31,12%,22400000.0,30%,6000000.0,,,2026-03-23,,,12,,,PDEI - Marketing,Pipeline Tier B (60% - 80%),2026,March,2026-03-11,2026-04-16,1.0,Andres,20000000.0,350877.19,20000000.0,0,0,0,,4 - ITQ/RFQ/RFP,2026-01-10,1 - Jan,3,Pending,,
BlueSky Digital,AI Gaming Demo Day,Talent Sourcing,50%,Medium,5000000,87719.3,Timeline adjusted,,Repeat Client,Lucas Gabriel Domingo,Maria Elena Rosales Bautista,Paolo Dela Cruz,Content Team,PRJ-2026-032,,https://docs.google.com/spreadsheets/d/fake_32,12%,5600000.0,,,,,2026-03-23,,,11,2026-03-02,3,PDEI - Marketing,Pipeline Tier C (50%),2026,February,2026-02-14,2026-03-22,1.0,Maria,5000000.0,87719.3,5000000.0,0,0,0,Active,1 - Know your client,2026-03-16,3 - Mar,6,Yes,,
Vanguard Entertainment,VR Experience Showcase,Lost,0%,Medium,6000000,105263.16,Client went with competitor,,,Isabella R. Fontanilla,"Diego Alejandro Reyes, Santiago, III Villanueva",Lucia Mendez,Social Team,PRJ-2026-033,,https://docs.google.com/spreadsheets/d/fake_33,0%,6000000.0,30%,1800000.0,,,2026-03-21,,,4,2026-02-06,7,PDEI - Marketing,Lost,2026,January,,,1.0,DA,6000000.0,105263.16,0,0,0,0,On Hold,2 - Sources,2026-02-16,2 - Feb,5,Yes,,
Nebula Media,Retro Gaming Night,Lost,0%,Medium,1500000,26315.79,Budget cuts on client side,,Repeat Client,Nathan Kai Villanueva Tan,Rafael Antonio Cruz Mendoza,Carmen Reyes,,PRJ-2026-034,,https://docs.google.com/spreadsheets/d/fake_34,12%,1680000.0,30%,450000.0,,,2026-03-25,,,5,2026-01-19,3,PDEI - Esports,Lost,2026,March,,,1.0,Rafa,1500000.0,26315.79,0,0,0,0,Completed,2 - Sources,2026-01-08,1 - Jan,7,Yes,,
Horizon Digital,Cloud Gaming Promotion,Stalled,0%,Medium,4000000,70175.44,On hold pending Q2 budget,,Referral,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Ryan Lim,Content Team,PRJ-2026-035,,https://docs.google.com/spreadsheets/d/fake_35,0%,4000000.0,40%,1600000.0,,,2026-03-31,,,6,2026-02-14,5,PDEI - Tencent,Lost,2026,January,,,1.0,Andres,4000000.0,70175.44,0,0,0,0,Active,4 - ITQ/RFQ/RFP,2026-02-18,2 - Feb,8,,,
Eclipse Studios,Fitness Gaming Activation,Stalled,0%,Medium,3000000,52631.58,Scope needs rework,,Repeat Client,Isabella R. Fontanilla,Sofia Beatrice Luna Torres,Ryan Lim,Content Team,PRJ-2026-036,,,12%,3360000.0,35%,1050000.0,,,2026-03-27,,,7,,,PDEI - Marketing,Lost,2026,February,,,1.0,Sofia,3000000.0,52631.58,0,0,0,0,On Hold,4 - ITQ/RFQ/RFP,2026-03-15,3 - Mar,6,Yes,,
Pinnacle Sports,Educational Gaming Program,Archived,0%,Medium,2000000,35087.72,Deprioritized by client,,Referral,Nathan Kai Villanueva Tan,Maria Elena Rosales Bautista,Paolo Dela Cruz,,PRJ-2026-037,,https://docs.google.com/spreadsheets/d/fake_37,12%,2240000.0,30%,600000.0,,,2026-03-29,,,3,2026-02-11,7,PDEI - Esports,Lost,2026,January,,,1.0,Maria,2000000.0,35087.72,0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-02-20,2 - Feb,6,Pending,,
Quantum Labs,Sustainability in Gaming,Archived,0%,Medium,1200000,21052.63,Indefinitely postponed,,Inbound,Lucas Gabriel Domingo,"Diego Alejandro Reyes, Santiago, III Villanueva",Carmen Reyes,,PRJ-2026-038,,,0%,1200000.0,20%,240000.0,,,2026-03-24,,,3,2026-02-01,4,PDEI - Marketing,Lost,2026,January,,,1.0,DA,1200000.0,21052.63,0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-02-20,2 - Feb,13,,,
Omega Networks,Holiday Gaming Marathon,Lost,0%,Medium,7000000,122807.02,Timing conflict,,Referral,Isabella R. Fontanilla,Andres Felipe Navarro Castillo,Ryan Lim,Social Team,PRJ-2026-039,,,12%,7840000.0,35%,2450000.0,,,2026-03-23,,,4,,,PDEI - Moonton,Lost,2026,February,,,1.0,Andres,7000000.0,122807.02,0,0,0,0,On Hold,3 - Revenue building activities,2026-02-16,2 - Feb,10,Pending,,
Atlas Entertainment,Music x Gaming Crossover,Lost,0%,Medium,9000000,157894.74,Budget reallocated,,,Nathan Kai Villanueva Tan,Rafael Antonio Cruz Mendoza,Miguel Santos,Content Team,PRJ-2026-040,,https://docs.google.com/spreadsheets/d/fake_40,0%,9000000.0,35%,3150000.0,,,2026-03-23,,,5,2026-01-07,7,PDEI - Marketing,Lost,2026,January,,,1.0,Rafa,9000000.0,157894.74,0,0,0,0,,2 - Sources,2026-01-13,1 - Jan,12,Pending,,
Fusion Creative,Gaming Merch Collab,Signed CE,100%,Medium,2800000,49122.81,Waiting for client approval,2026-01-06,Referral,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Carmen Reyes,,PRJ-2026-041,CE_PRJ-2026-041.pdf,,12%,3136000.0,20%,560000.0,,,2026-03-22,,,9,2026-03-15,8,PDEI - Marketing,Signed CE,2026,January,2026-01-09,2026-03-26,0.5,Andres,1400000.0,24561.4,0,1400000.0,0,0,,2 - Sources,2026-03-08,3 - Mar,3,Pending,,
